-3.9798	3.6809
-3.9128	3.2873
-3.8770	3.5230
-3.7240	2.9703
-3.5881	2.8035
-3.4945	2.4996
-3.3982	2.4862
-3.3868	2.4197
-3.2878	2.2292
-3.2755	1.8640
-3.2193	2.1235
-3.1519	1.6191
-3.1226	1.8632
-3.0253	1.9501
-3.0022	1.8370
-2.9982	1.7618
-2.8339	2.2184
-2.7678	1.6418
-2.6238	2.2431
-2.5845	2.2394
-2.5080	2.1672
-2.4615	2.4336
-2.4056	2.5639
-2.3482	2.6220
-2.2880	2.8809
-2.1773	2.7518
-2.0983	3.1789
-2.0283	3.0999
-1.8789	3.0307
-1.8087	3.4492
-1.7898	3.2877
-1.7832	3.1831
-1.6712	3.0000
-1.6324	3.2803
-1.5381	3.3620
-1.3964	3.2240
-1.3343	3.3089
-1.2319	3.4599
-1.1725	3.2028
-1.1237	3.5169
-1.0953	3.5595
-1.0581	3.3041
-1.0281	3.3871
-0.8611	3.1796
-0.8141	3.6925
-0.7719	3.0632
-0.7066	3.6476
-0.6472	3.9729
-0.6108	3.5123
-0.5291	3.7484
-0.4367	4.1108
-0.3040	4.0544
-0.1058	4.7682
-0.0344	5.0942
0.0496	4.9608
0.1730	5.1452
0.3136	5.3935
0.4780	4.9967
0.5072	4.9880
0.6057	5.3311
0.7833	5.1764
0.8032	5.1200
0.9172	4.5132
0.9561	4.8306
1.1351	4.4756
1.1848	4.3864
1.2387	3.9034
1.3026	3.8247
1.3266	4.0362
1.3643	3.6654
1.3805	3.8134
1.3985	4.0724
1.4763	3.6855
1.5354	3.8202
1.7522	3.0996
1.7697	2.7120
2.0984	3.1367
2.1821	3.0437
2.3628	3.1300
2.3910	3.0222
2.4138	3.0193
2.4847	2.9585
2.5332	2.8856
2.6784	2.8864
2.7071	3.3221
2.7662	3.2470
2.8733	3.6402
2.9086	3.1580
2.9689	3.1731
3.0065	2.8485
3.1409	2.9772
3.2302	3.1500
3.3357	2.5129
3.3609	2.8673
3.4595	2.6682
3.4901	2.4898
3.5928	2.5050
3.7063	2.4144
3.8696	2.2954
3.9236	2.2976
-3.9455	3.3865
-3.9110	3.5156
-3.8726	3.5296
-3.6424	2.6074
-3.5202	2.6125
-3.4627	2.3365
-3.3924	2.4399
-3.3488	2.0179
-3.2768	1.8661
-3.2261	2.4390
-3.1998	1.7939
-3.1322	2.0818
-3.0662	1.7552
-3.0104	1.6681
-2.9984	2.2953
-2.9660	1.6974
-2.8266	1.8149
-2.6989	1.6914
-2.5926	1.9424
-2.5586	2.2032
-2.4629	2.2292
-2.4573	2.6980
-2.3532	2.1704
-2.2892	2.4930
-2.2673	2.8034
-2.1203	2.8277
-2.0661	3.0388
-1.9668	3.1067
-1.8214	3.1346
-1.7945	3.2669
-1.7850	3.0743
-1.7791	3.0218
-1.6674	3.4679
-1.5961	2.9364
-1.5348	3.1394
-1.3621	3.2708
-1.2771	3.0074
-1.2116	3.6001
-1.1570	3.0851
-1.1042	3.2541
-1.0826	3.4610
-1.0311	3.2542
-0.9993	3.2887
-0.8147	3.5613
-0.8061	3.4726
-0.7646	3.8115
-0.7005	3.4480
-0.6335	3.5917
-0.5894	3.6719
-0.4858	3.9774
-0.3260	4.0982
-0.1760	4.3979
-0.0941	4.2764
0.0470	4.9957
0.1214	4.6756
0.2715	4.9310
0.4701	5.1916
0.4783	4.9057
0.5534	5.2582
0.7701	5.1640
0.7975	5.0254
0.8552	5.0369
0.9414	4.2685
1.0645	4.3181
1.1671	3.9162
1.2380	4.2225
1.2917	3.9088
1.3086	4.0477
1.3333	3.7632
1.3804	4.0190
1.3873	3.8569
1.4012	3.9662
1.5354	3.5682
1.6139	3.1000
1.7574	3.1722
2.0508	3.0325
2.1698	2.8348
2.3474	3.2807
2.3683	3.4584
2.4022	3.0049
2.4701	3.0721
2.4921	3.4654
2.5750	3.2273
2.7016	2.9064
2.7256	3.3308
2.8134	3.1687
2.8994	3.0491
2.9525	3.0463
2.9752	3.0500
3.1378	3.0015
3.2045	2.7103
3.2827	3.3376
3.3540	2.6580
3.4268	2.6889
3.4878	2.6995
3.5521	2.6979
3.6741	2.1527
3.8580	2.1513
3.9114	1.9753
3.9660	2.5291
